date,eff_tariff_rate
2025-01-01,2.3
2025-01-02,2.3
2025-01-03,2.3
2025-01-04,2.3
2025-01-05,2.3
2025-01-06,2.3
2025-01-07,2.3
2025-01-08,2.3
2025-01-09,2.3
2025-01-10,2.3
2025-01-11,2.3
2025-01-12,2.3
2025-01-13,2.3
2025-01-14,2.3
2025-01-15,2.3
2025-01-16,2.3
2025-01-17,2.3
2025-01-18,2.3
2025-01-19,2.3
2025-01-20,2.3
2025-01-21,2.3
2025-01-22,2.3
2025-01-23,2.3
2025-01-24,2.3
2025-01-25,2.3
2025-01-26,2.3
2025-01-27,2.3
2025-01-28,2.3
2025-01-29,2.3
2025-01-30,2.3
2025-01-31,2.3
2025-02-01,2.3
2025-02-02,2.3
2025-02-03,2.3
2025-02-04,4.981420886093995
2025-02-05,4.981420886093995
2025-02-06,4.981420886093995
2025-02-07,4.981420886093995
2025-02-08,4.981420886093995
2025-02-09,4.981420886093995
2025-02-10,4.981420886093995
2025-02-11,4.981420886093995
2025-02-12,4.981420886093995
2025-02-13,4.981420886093995
2025-02-14,4.981420886093995
2025-02-15,4.981420886093995
2025-02-16,4.981420886093995
2025-02-17,4.981420886093995
2025-02-18,4.981420886093995
2025-02-19,4.981420886093995
2025-02-20,4.981420886093995
2025-02-21,4.981420886093995
2025-02-22,4.981420886093995
2025-02-23,4.981420886093995
2025-02-24,4.981420886093995
2025-02-25,4.981420886093995
2025-02-26,4.981420886093995
2025-02-27,4.981420886093995
2025-02-28,4.981420886093995
2025-03-01,4.981420886093995
2025-03-02,4.981420886093995
2025-03-03,4.981420886093995
2025-03-04,4.981420886093995
2025-03-05,4.981420886093995
2025-03-06,6.548998509429659
2025-03-07,6.548998509429659
2025-03-08,6.548998509429659
2025-03-09,6.548998509429659
2025-03-10,6.548998509429659
2025-03-11,6.548998509429659
2025-03-12,7.230319492984171
2025-03-13,7.230319492984171
2025-03-14,7.230319492984171
2025-03-15,7.230319492984171
2025-03-16,7.230319492984171
2025-03-17,7.230319492984171
2025-03-18,7.230319492984171
2025-03-19,7.230319492984171
2025-03-20,7.230319492984171
2025-03-21,7.230319492984171
2025-03-22,7.230319492984171
2025-03-23,7.230319492984171
2025-03-24,7.230319492984171
2025-03-25,7.230319492984171
2025-03-26,7.230319492984171
2025-03-27,7.230319492984171
2025-03-28,7.230319492984171
2025-03-29,7.230319492984171
2025-03-30,7.230319492984171
2025-03-31,7.230319492984171
2025-04-01,7.230319492984171
2025-04-02,7.230319492984171
2025-04-03,8.948553246019209
2025-04-04,8.948553246019209
2025-04-05,24.37411161416536
2025-04-06,24.37411161416536
2025-04-07,24.37411161416536
2025-04-08,30.221730878719196
2025-04-09,30.221730878719196
2025-04-10,30.221730878719196
2025-04-11,22.15256226634243
2025-04-12,22.15256226634243
2025-04-13,22.15256226634243
2025-04-14,22.15256226634243
2025-04-15,22.15256226634243
2025-04-16,22.15256226634243
2025-04-17,22.15256226634243
2025-04-18,22.15256226634243
2025-04-19,22.15256226634243
2025-04-20,22.15256226634243
2025-04-21,22.15256226634243
2025-04-22,22.15256226634243
2025-04-23,22.15256226634243
2025-04-24,22.15256226634243
2025-04-25,22.15256226634243
2025-04-26,22.15256226634243
2025-04-27,22.15256226634243
2025-04-28,22.15256226634243
2025-04-29,22.15256226634243
2025-04-30,22.15256226634243
2025-05-01,22.15256226634243
2025-05-02,22.15256226634243
2025-05-03,22.15256226634243
2025-05-04,22.15256226634243
2025-05-05,22.15256226634243
2025-05-06,22.15256226634243
2025-05-07,22.15256226634243
2025-05-08,22.15256226634243
2025-05-09,22.15256226634243
2025-05-10,22.15256226634243
2025-05-11,22.15256226634243
2025-05-12,13.83118363795429
2025-05-13,13.83118363795429
2025-05-14,13.83118363795429
2025-05-15,13.83118363795429
2025-05-16,13.83118363795429
2025-05-17,13.83118363795429
2025-05-18,13.83118363795429
2025-05-19,13.83118363795429
2025-05-20,13.83118363795429
2025-05-21,13.83118363795429
2025-05-22,13.83118363795429
2025-05-23,13.83118363795429
2025-05-24,13.83118363795429
2025-05-25,13.83118363795429
2025-05-26,13.83118363795429
2025-05-27,13.83118363795429
2025-05-28,13.83118363795429
2025-05-29,13.83118363795429
2025-05-30,13.83118363795429
2025-05-31,13.83118363795429
2025-06-01,13.83118363795429
2025-06-02,13.83118363795429
2025-06-03,14.637977175958971
2025-06-04,14.637977175958971
2025-06-05,14.637977175958971
2025-06-06,14.637977175958971
2025-06-07,14.637977175958971
2025-06-08,14.637977175958971
2025-06-09,14.637977175958971
2025-06-10,14.637977175958971
2025-06-11,14.637977175958971
2025-06-12,14.637977175958971
2025-06-13,14.637977175958971
2025-06-14,14.637977175958971
2025-06-15,14.637977175958971
2025-06-16,14.637977175958971
2025-06-17,14.637977175958971
2025-06-18,14.637977175958971
2025-06-19,14.637977175958971
2025-06-20,14.637977175958971
2025-06-21,14.637977175958971
2025-06-22,14.637977175958971
2025-06-23,14.637977175958971
2025-06-24,14.637977175958971
2025-06-25,14.637977175958971
