eff_tariff_rate,date,cpi,cpi_pct_change,consumer_sentiment_x,consumer_sentiment_y,consumer_sentiment
2.5,2024-01-01,309.698,,79.0,79.0,79.0
2.5,2024-02-01,310.967,0.4097540184308634,76.9,76.9,76.9
2.5,2024-03-01,312.345,0.4431338373525273,79.4,79.4,79.4
2.5,2024-04-01,313.023,0.2170676655621095,77.2,77.2,77.2
2.5,2024-05-01,313.175,0.048558732105941,69.1,69.1,69.1
2.5,2024-06-01,313.044,-0.0418296479604118,68.2,68.2,68.2
2.5,2024-07-01,313.569,0.1677080538199149,66.4,66.4,66.4
2.5,2024-08-01,314.062,0.1572221743858515,67.9,67.9,67.9
2.5,2024-09-01,314.732,0.2133336729690294,70.1,70.1,70.1
2.5,2024-10-01,315.631,0.2856398459641696,70.5,70.5,70.5
2.5,2024-11-01,316.528,0.2841926173284825,71.8,71.8,71.8
2.5,2024-12-01,317.604,0.3399383308901438,74.0,74.0,74.0
2.5,2025-01-01,318.961,0.4272616213901736,71.7,71.7,71.7
7.0,2025-02-01,319.679,0.2251058906888259,64.7,64.7,64.7
10.0,2025-03-01,319.785,0.0331582618814607,57.0,57.0,57.0
27.0,2025-04-01,320.302,0.1616711227856226,52.2,52.2,52.2
17.0,2025-05-01,320.62,0.0992813032700379,52.2,52.2,52.2
17.0,2025-06-01,321.435,0.2541949971929469,60.7,60.7,60.7
20.0,2025-07-01,322.169,0.2283509885357748,61.7,61.7,61.7
20.0,2025-08-01,323.291,0.3482644202266627,58.2,58.2,58.2
18.0,2025-09-01,324.245,0.2950901819104068,55.1,55.1,55.1
15.0,2025-10-01,,,53.6,53.6,53.6
15.0,2025-11-01,325.063,,51.0,51.0,51.0
14.0,2025-12-01,326.031,0.297788428704604,52.9,52.9,52.9
14.0,2026-01-01,326.588,0.170842649932057,56.4,56.4,56.4
13.0,2026-02-01,327.46,0.267003074209704,56.6,56.6,56.6
